code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
300146	汤臣倍健	食品饮料I	105	606.1601	318.2603	33.5643	30	6.2145	64	8.8849	72	48.66	35	2.38	65	1.4556	63	0.3434
300147	香雪制药	医药生物I	361	52.8428	52.2491	125.0005	277	1.4513	25	1.724	44	-0.87	321	6.07	190	2.3053	323	0.0342
300149	睿智医药	医药生物I	361	87.0112	70.1078	51.082	197	3.6171	155	5.4636	165	39.81	155	16.69	98	1.9637	302	-0.0116
300151	昌红科技	机械设备I	415	137.2328	84.1732	71.8979	316	12.8342	357	11.3315	338	51.57	203	15.25	67	1.2368	86	0.1337
300152	科融环境	公用事业I	180	24.8767	24.8601	94.1052	152	3.7926	148	5.0257	132	-44.15	178	15.87	58	1.7876	55	-0.4247
300154	瑞凌股份	机械设备I	415	27.8186	19.6346	32.6326	172	1.7045	67	3.9214	198	291.91	15	10.89	96	1.2634	102	0.146
300155	安居宝	计算机I	257	35.3191	18.3241	33.1153	71	2.6811	65	3.5785	72	62.67	79	-60.63	163	1.2432	78	0.0041
300158	振东制药	医药生物I	361	58.1562	57.2625	19.4771	57	1.0256	5	1.1193	27	36.84	165	-16.72	320	1.326	155	0.0731
300160	秀强股份	家用电器I	66	37.172	35.6474	34.6671	44	3.6141	38	2.7753	36	19.58	64	-0.31	31	1.7637	28	0.0495
300163	先锋新材	化工I	372	16.0212	16.0085	79.6997	305	2.6733	182	5.2453	278	59.56	149	-47.05	364	1.191	62	-0.0142
300165	天瑞仪器	机械设备I	415	22.8616	13.7728	115.0063	341	1.3387	24	2.2854	110	44.67	231	-11.2	231	1.5273	185	0.0762
300166	东方国信	计算机I	257	94.2122	72.9686	29.1762	47	1.6062	14	4.315	93	28.63	144	-69.33	170	1.2409	77	0.0663
300170	汉得信息	计算机I	257	59.0523	53.6189	82.7775	175	1.8776	25	2.3091	37	10.9	202	-23.88	96	1.5026	154	-0.0201
300171	东富龙	机械设备I	415	218.41	148.7302	41.4594	225	5.867000000000001	328	7.4774	293	42.36	240	33.14	25	1.8546	272	0.141
300172	中电环保	公用事业I	180	32.8568	23.8761	18.3826	69	2.0076	100	3.5086	112	11.71	139	1.71	112	1.5411	32	0.0788
300173	福能东方	机械设备I	415	38.7935	33.4941	78.1264	326	2.5417	160	3.5459	174	19094.5	1	-37.09	341	2.5442	362	0.0305
300174	元力股份	化工I	372	44.5951	44.2468	34.0391	205	2.6078	175	3.6636	229	32.51	248	6.53	127	1.0884	17	0.0772
300176	派生科技	非银金融I	81	24.5149	23.7495	64.6478	64	2.6024	59	1.9673	15	29.92	30	3.24	43	2.1001	12	0.0098
300177	中海达	计算机I	257	67.4961	47.9062	58.8165	146	2.9479	84	3.4543	68	124.16	28	-54.89	156	1.5223	159	0.0138
300179	四方达	机械设备I	415	26.496	18.1828	43.4737	232	3.0859	216	8.7445	311	-14.47	396	34.28	22	1.2183	77	0.2394
